delivery_id,po_id,delivery_date,delivery_status
8099,11016,2024-09-29 18:26:32,Early
8100,10425,2023-04-01 01:49:58,On Time
8101,8994,2024-06-22 18:08:19,On Time
8102,8085,2023-11-29 06:28:05,On Time
8103,5876,2023-12-03 22:32:26,On Time
8104,10270,2023-08-06 02:02:35,Delayed
8105,12509,2024-05-09 12:46:26,Delayed
8106,8997,2024-07-04 09:39:21,On Time
8107,5557,2024-12-01 04:28:18,On Time
8108,10294,2024-03-08 15:32:16,On Time
8109,13901,2024-07-06 14:21:01,On Time
8110,5718,2024-05-06 10:47:08,On Time
8111,8666,2023-04-21 09:47:48,Delayed
8112,11548,2023-11-19 19:14:47,Delayed
8113,10197,2023-08-14 14:57:47,On Time
8114,7020,2024-07-31 02:12:53,Delayed
8115,13483,2024-04-21 10:05:43,On Time
8116,7184,2024-01-24 19:41:42,On Time
8117,8880,2024-03-24 15:25:21,On Time
8118,7937,2023-07-01 13:11:51,On Time
8119,11692,2023-06-18 13:00:51,On Time
8120,12046,2024-08-21 01:52:26,On Time
8121,7814,2024-01-28 22:23:00,On Time
8122,6238,2023-03-19 23:43:08,On Time
8123,9842,2024-06-14 04:24:07,On Time
8124,8044,2023-05-08 16:25:56,On Time
8125,11473,2024-06-08 23:29:40,Early
8126,8088,2024-12-19 18:36:15,Delayed
8127,8559,2024-02-28 16:17:41,Early
8128,10294,2023-11-01 13:57:50,On Time
8129,13891,2023-11-22 18:38:23,On Time
8130,7854,2024-12-01 17:41:34,On Time
8131,6846,2024-02-15 18:41:58,Delayed
8132,11363,2023-04-22 23:05:28,On Time
8133,11657,2023-02-01 14:52:31,On Time
8134,12567,2024-09-23 03:55:09,On Time
8135,8183,2024-12-08 18:22:34,On Time
8136,5464,2023-03-09 18:58:14,On Time
8137,8861,2024-04-02 02:34:13,Early
8138,10761,2024-10-29 11:19:58,On Time
8139,12261,2024-03-22 21:48:27,Delayed
8140,5451,2024-06-27 08:40:57,On Time
8141,6916,2024-09-15 04:49:39,Delayed
8142,14116,2024-04-09 08:42:18,On Time
8143,8623,2024-02-08 15:08:09,On Time
8144,12077,2023-02-19 03:32:59,On Time
8145,5316,2023-06-02 11:41:53,On Time
8146,9767,2023-08-17 18:37:32,On Time
8147,9794,2024-07-13 16:45:30,On Time
8148,6377,2024-08-28 21:23:10,On Time
8149,7816,2023-10-08 01:00:56,On Time
8150,6263,2024-06-09 05:12:25,On Time
8151,14320,2023-03-05 15:36:26,On Time
8152,7926,2024-07-28 21:00:36,Delayed
8153,14245,2023-04-23 01:21:51,Delayed
8154,8469,2024-11-08 22:21:56,On Time
8155,9022,2023-03-19 12:40:58,On Time
8156,9410,2023-11-30 13:42:35,On Time
8157,5548,2023-12-09 06:50:10,On Time
8158,9892,2024-04-13 17:26:52,Delayed
8159,8524,2024-02-26 20:29:03,Delayed
8160,12043,2023-12-27 03:23:28,Delayed
8161,14722,2023-05-07 12:27:39,Early
8162,10606,2024-12-08 03:15:54,On Time
8163,5107,2025-01-12 07:47:00,On Time
8164,14049,2023-04-18 06:01:22,Delayed
8165,7985,2024-01-08 13:11:26,Delayed
8166,10469,2023-05-04 05:44:58,Delayed
8167,10853,2023-09-24 06:46:41,Delayed
8168,6251,2023-12-20 09:56:10,On Time
8169,11740,2024-07-09 19:57:51,Early
8170,11133,2024-11-26 06:10:48,Delayed
8171,6612,2024-11-22 21:54:20,On Time
8172,12929,2023-03-05 18:34:01,Delayed
8173,6791,2024-04-25 13:31:49,On Time
8174,12218,2024-11-19 10:12:18,Delayed
8175,5868,2023-06-01 08:46:14,Early
8176,7770,2023-03-09 11:03:39,On Time
8177,5328,2025-01-05 16:32:40,Delayed
8178,8817,2023-10-02 11:45:44,Delayed
8179,8149,2024-01-18 23:35:42,On Time
8180,11777,2024-11-20 18:23:58,On Time
8181,7556,2024-05-24 03:38:25,On Time
8182,14323,2024-02-05 14:03:26,On Time
8183,9337,2024-07-02 01:59:35,On Time
8184,7483,2024-11-07 07:09:18,On Time
8185,8100,2024-10-18 07:49:30,Delayed
8186,14749,2023-05-23 11:40:00,Early
8187,10787,2024-10-04 11:42:18,On Time
8188,11733,2023-04-10 21:24:11,On Time
8189,12986,2024-08-05 21:00:14,Delayed
8190,11055,2023-05-23 14:20:10,On Time
8191,5569,2023-08-03 15:29:17,Early
8192,6655,2024-11-19 21:13:22,Delayed
8193,12133,2023-10-12 23:25:46,Delayed
8194,8734,2023-08-05 13:57:42,On Time
8195,8230,2024-11-25 10:49:27,On Time
8196,11812,2023-12-28 03:55:48,On Time
8197,13343,2024-09-16 05:04:29,On Time
8198,6796,2023-11-21 12:49:37,Delayed
8199,11540,2024-05-20 02:00:14,On Time
8200,13541,2024-09-17 08:51:30,On Time
8201,11215,2024-10-11 12:04:08,Delayed
8202,13589,2024-01-03 20:07:58,On Time
8203,11146,2024-01-29 04:43:59,On Time
8204,7610,2023-02-04 14:35:24,Delayed
8205,14351,2023-07-16 10:08:26,On Time
8206,13338,2023-07-09 13:48:09,On Time
8207,7227,2024-03-23 04:00:38,On Time
8208,13456,2023-05-03 22:35:08,On Time
8209,10931,2023-12-09 10:12:00,On Time
8210,11843,2023-01-16 04:13:38,On Time
8211,8081,2024-06-03 23:15:04,On Time
8212,5988,2024-07-16 19:39:18,On Time
8213,14540,2023-10-24 13:02:54,On Time
8214,6361,2023-10-17 04:52:59,On Time
8215,12051,2023-05-02 06:40:44,On Time
8216,12547,2023-04-04 18:55:24,On Time
8217,6727,2023-08-17 20:09:16,On Time
8218,5908,2024-11-23 07:17:01,On Time
8219,14376,2024-07-22 23:46:54,Delayed
8220,7825,2023-05-26 00:22:54,Delayed
8221,14451,2023-06-12 00:02:09,Delayed
8222,13026,2023-11-05 02:31:33,On Time
8223,13391,2024-09-06 06:58:16,On Time
8224,14249,2024-11-13 01:08:30,Delayed
8225,7456,2023-07-25 08:46:11,Early
8226,10209,2024-07-26 22:53:35,Early
8227,12775,2023-08-04 22:48:25,Early
8228,8366,2023-11-16 03:52:33,Delayed
8229,14453,2023-12-26 23:57:54,On Time
8230,10280,2024-07-25 16:23:18,On Time
8231,10952,2023-11-22 06:24:51,Delayed
8232,14506,2024-12-01 22:20:38,On Time
8233,11698,2023-03-07 05:05:56,On Time
8234,13770,2023-07-13 12:38:53,Delayed
8235,11677,2023-12-07 13:40:23,Delayed
8236,6021,2023-05-09 05:53:24,On Time
8237,8845,2023-08-21 01:21:42,On Time
8238,8574,2025-01-07 18:34:18,On Time
8239,10443,2023-02-19 04:22:13,Early
8240,12915,2023-08-04 05:07:24,Delayed
8241,11059,2024-06-28 04:17:43,On Time
8242,12952,2023-09-02 01:52:40,On Time
8243,13803,2024-07-02 05:45:19,Early
8244,13521,2024-01-06 19:31:48,On Time
8245,5547,2024-06-25 11:38:30,On Time
8246,13531,2023-04-27 05:31:11,On Time
8247,8182,2023-03-19 21:54:21,On Time
8248,13999,2023-04-26 05:44:32,On Time
8249,14226,2023-12-29 12:07:54,On Time
8250,8988,2023-08-10 13:28:55,On Time
8251,8334,2023-11-24 20:41:22,On Time
8252,7741,2023-05-13 00:31:44,On Time
8253,9902,2024-11-25 03:12:21,Early
8254,14889,2024-10-03 02:19:57,On Time
8255,10709,2024-08-26 10:17:16,On Time
8256,7083,2023-04-12 03:33:27,On Time
8257,9653,2024-02-26 11:07:06,On Time
8258,14878,2024-12-05 21:23:14,On Time
8259,9587,2024-09-21 16:37:19,On Time
8260,14796,2023-05-10 04:41:04,Early
8261,5261,2023-10-26 18:06:38,On Time
8262,8797,2023-09-01 06:39:16,Early
8263,10983,2023-10-18 07:44:58,On Time
8264,5501,2024-10-29 20:30:31,Delayed
8265,6016,2024-11-27 02:14:00,Delayed
8266,13106,2023-04-02 13:42:04,On Time
8267,12665,2024-06-26 07:54:19,On Time
8268,8964,2024-11-12 09:30:16,On Time
8269,10319,2023-04-05 12:23:59,On Time
8270,7707,2023-05-25 08:26:27,Delayed
8271,11136,2023-03-29 08:03:35,Delayed
8272,10782,2023-10-25 08:23:38,On Time
8273,7100,2023-04-14 08:40:04,On Time
8274,11387,2023-09-21 18:20:34,Early
8275,10339,2023-11-02 15:10:12,On Time
8276,7566,2024-08-26 09:04:17,On Time
8277,13301,2023-03-05 16:51:22,On Time
8278,10017,2024-10-17 08:30:18,Early
8279,13258,2023-12-18 13:18:34,Delayed
8280,8082,2023-11-04 03:45:41,On Time
8281,9298,2023-01-24 11:28:00,On Time
8282,10914,2024-05-07 20:19:01,On Time
8283,7949,2024-10-10 05:20:28,On Time
8284,13406,2024-03-04 16:57:56,Delayed
8285,11212,2024-03-04 05:20:28,On Time
8286,6041,2024-08-26 03:24:56,On Time
8287,12989,2023-04-24 05:29:32,On Time
8288,12474,2024-01-03 16:22:21,On Time
8289,12560,2023-06-08 20:19:18,Early
8290,5988,2024-08-24 09:27:01,On Time
8291,8196,2024-01-18 23:31:42,On Time
8292,10100,2024-06-23 14:12:42,Delayed
8293,5504,2023-01-15 18:50:35,On Time
8294,10345,2024-06-25 22:04:38,On Time
8295,13948,2023-06-21 18:01:13,On Time
8296,14534,2023-01-18 01:48:15,On Time
8297,13149,2023-11-06 08:34:12,Early
8298,11011,2024-04-26 16:46:24,On Time
8299,6382,2024-01-15 02:31:42,On Time
8300,10603,2024-06-16 02:40:56,Delayed
8301,12013,2024-06-01 20:48:04,On Time
8302,8727,2024-04-11 14:07:15,Early
8303,6888,2024-01-14 11:56:21,On Time
8304,14516,2024-06-22 07:33:56,On Time
8305,8810,2024-09-29 17:45:52,On Time
8306,7132,2024-02-24 17:29:21,On Time
8307,7425,2023-03-23 14:58:11,On Time
8308,10440,2023-08-05 12:25:27,On Time
8309,10475,2023-06-14 05:02:12,On Time
8310,14201,2023-12-17 00:16:54,On Time
8311,6318,2023-03-25 06:22:25,On Time
8312,11648,2023-10-22 01:00:23,On Time
8313,8217,2024-12-18 07:41:56,On Time
8314,5017,2024-02-16 20:12:51,On Time
8315,9671,2024-10-16 09:01:44,On Time
8316,14995,2023-07-07 13:52:21,Delayed
8317,7624,2024-07-19 04:11:42,On Time
8318,5130,2023-05-12 13:13:49,On Time
8319,6474,2023-08-26 15:31:15,On Time
8320,14142,2025-01-07 19:50:31,On Time
8321,14261,2023-04-25 05:56:15,Delayed
8322,9312,2024-11-23 22:59:14,On Time
8323,14816,2024-04-01 18:15:09,On Time
8324,7896,2025-01-14 02:40:28,On Time
8325,7737,2023-09-18 03:02:49,Early
8326,10099,2024-08-22 13:47:29,On Time
8327,6947,2023-09-12 02:52:38,On Time
8328,10560,2023-03-08 18:13:49,On Time
8329,13809,2024-10-30 11:31:23,On Time
8330,5301,2024-04-12 06:29:34,On Time
8331,14177,2023-09-16 14:47:15,On Time
8332,9502,2024-01-22 22:33:23,On Time
8333,13353,2024-07-16 21:35:53,On Time
8334,10915,2023-02-16 02:29:21,On Time
8335,10672,2024-04-03 20:58:40,On Time
8336,13218,2023-07-31 05:34:38,On Time
8337,5083,2023-06-08 19:08:38,On Time
8338,13365,2024-12-29 19:20:14,On Time
8339,5999,2023-01-31 00:33:31,On Time
8340,10805,2023-03-16 11:45:43,On Time
8341,11938,2024-08-27 19:00:50,On Time
8342,8142,2023-10-23 23:24:17,Delayed
8343,7883,2025-01-12 19:32:15,On Time
8344,12363,2023-06-12 10:24:03,Early
8345,8085,2023-05-02 00:07:45,Delayed
8346,7046,2024-12-14 07:06:51,Delayed
8347,13953,2023-05-29 20:42:25,On Time
8348,5205,2024-06-17 12:46:12,On Time
8349,10285,2024-03-11 22:00:41,Delayed
8350,6553,2024-09-02 11:24:04,Delayed
8351,12817,2024-05-25 06:38:31,On Time
8352,5825,2023-10-02 19:39:04,On Time
8353,8749,2023-03-12 22:21:37,On Time
8354,10579,2024-07-06 00:58:56,On Time
8355,10913,2024-05-12 15:55:30,On Time
8356,12391,2024-01-20 12:25:41,On Time
8357,10198,2023-08-12 13:20:13,On Time
8358,14031,2023-11-15 10:52:20,On Time
8359,9696,2025-01-06 02:02:15,On Time
8360,11769,2023-07-28 01:56:33,Delayed
8361,8684,2024-07-13 01:49:17,Delayed
8362,6962,2024-12-06 00:26:48,On Time
8363,5938,2024-02-11 18:59:25,On Time
8364,12596,2024-03-08 17:42:05,On Time
8365,5425,2023-03-23 21:12:19,On Time
8366,8052,2023-12-26 05:28:13,On Time
8367,7906,2023-05-17 21:52:16,Delayed
8368,7695,2024-12-07 19:08:45,Early
8369,8596,2024-10-24 10:09:37,On Time
8370,6268,2023-05-18 23:57:33,On Time
8371,5422,2024-03-14 12:35:06,On Time
8372,8267,2024-02-16 20:59:01,On Time
8373,12018,2024-10-23 04:31:48,Delayed
8374,14850,2024-11-25 08:21:51,On Time
8375,7101,2023-10-18 16:22:35,On Time
8376,12130,2023-11-23 20:51:02,On Time
8377,13096,2024-01-11 01:01:44,On Time
8378,13877,2023-05-20 12:19:27,On Time
8379,7227,2024-09-22 05:32:47,Delayed
8380,9389,2023-07-14 19:08:05,On Time
8381,7423,2023-12-27 18:27:49,Delayed
8382,12227,2023-08-04 04:29:37,On Time
8383,14270,2024-06-23 07:06:14,On Time
8384,12317,2024-10-25 19:17:21,Early
8385,7844,2024-09-01 22:43:56,Early
8386,9112,2024-05-10 17:50:46,Early
8387,10660,2023-02-22 18:16:39,On Time
8388,6904,2023-08-17 08:44:27,On Time
8389,9225,2023-12-17 19:38:40,On Time
8390,9980,2023-04-27 16:33:44,On Time
8391,10364,2023-12-31 18:06:31,On Time
8392,5426,2024-02-24 03:35:04,On Time
8393,7402,2023-07-16 12:22:28,Delayed
8394,13942,2023-09-25 10:21:32,On Time
8395,12249,2025-01-05 06:07:31,Delayed
8396,5044,2024-12-06 14:47:44,On Time
8397,11299,2024-07-29 10:23:36,Delayed
8398,10043,2024-03-01 15:56:13,On Time
8399,6560,2024-08-07 15:54:27,On Time
8400,11036,2024-09-02 20:47:10,On Time
8401,12072,2023-07-13 02:08:19,Delayed
8402,9195,2024-11-15 20:31:31,Early
8403,8952,2024-08-03 19:24:47,On Time
8404,5148,2023-01-18 14:50:41,On Time
8405,7171,2023-01-08 17:35:55,On Time
8406,13304,2023-07-31 16:36:10,On Time
8407,10119,2023-04-23 23:26:36,On Time
8408,12156,2024-02-11 02:50:43,On Time
8409,12298,2024-10-23 21:12:17,Delayed
8410,9164,2024-07-08 03:04:55,On Time
8411,13027,2023-02-21 12:58:23,On Time
8412,14020,2023-10-27 05:01:42,On Time
8413,14945,2023-03-17 09:56:10,Early
8414,13068,2024-09-29 11:44:41,On Time
8415,7940,2023-09-11 06:47:29,Delayed
8416,10728,2024-08-18 05:39:57,On Time
8417,13065,2023-05-08 20:52:17,On Time
8418,8617,2023-12-25 12:08:17,Early
8419,10406,2023-09-09 19:46:08,On Time
8420,12286,2023-08-29 18:50:52,Delayed
8421,13352,2023-04-17 01:09:25,Early
8422,10881,2024-04-24 04:09:57,Delayed
8423,6014,2024-08-08 04:35:28,On Time
8424,13744,2025-01-06 21:45:20,Delayed
8425,12392,2024-04-17 11:36:53,Delayed
8426,6176,2024-04-03 05:19:38,Early
8427,14356,2024-11-27 16:18:13,Delayed
8428,10248,2024-08-13 18:26:59,On Time
8429,12519,2024-05-18 07:51:30,Delayed
8430,11291,2024-10-27 06:32:13,On Time
8431,6309,2024-08-16 02:22:48,On Time
8432,14685,2023-11-27 22:18:45,On Time
8433,14434,2024-09-13 12:21:36,Delayed
8434,9828,2023-10-09 05:55:46,On Time
8435,10265,2023-09-22 21:48:32,Delayed
8436,6778,2023-01-17 10:35:30,On Time
8437,5060,2024-11-18 13:52:49,On Time
8438,14826,2024-06-27 20:32:36,On Time
8439,11987,2024-09-04 09:14:22,On Time
8440,12861,2024-04-24 22:09:38,On Time
8441,13528,2023-11-18 05:16:06,Early
8442,14023,2024-08-21 04:19:19,On Time
8443,6593,2023-01-30 22:35:29,On Time
8444,9381,2023-04-11 19:20:41,On Time
8445,11098,2023-06-07 06:42:33,On Time
8446,11459,2024-12-11 17:53:58,On Time
8447,14152,2024-03-13 14:35:53,On Time
8448,10718,2023-03-20 04:12:02,On Time
8449,9167,2024-12-31 11:44:22,On Time
8450,11489,2023-05-10 11:09:18,Delayed
8451,13158,2023-04-20 08:52:15,On Time
8452,14314,2023-03-23 14:30:56,On Time
8453,10420,2023-11-17 08:30:57,Early
8454,14291,2024-03-10 21:36:27,On Time
8455,13335,2024-05-27 09:14:33,On Time
8456,6047,2023-07-21 21:40:47,Delayed
8457,14261,2024-06-27 23:31:44,Delayed
8458,12637,2023-01-09 20:33:12,On Time
8459,9188,2023-12-31 14:53:48,On Time
8460,8341,2023-07-19 03:50:52,On Time
8461,11178,2024-09-15 00:01:18,Early
8462,9774,2024-08-14 02:44:33,Delayed
8463,8436,2025-01-11 05:49:05,On Time
8464,12301,2024-01-11 06:00:21,On Time
8465,11903,2023-10-27 21:21:10,On Time
8466,10800,2024-09-22 17:58:37,On Time
8467,5966,2024-10-18 03:12:28,Delayed
8468,12445,2023-06-25 10:12:01,Early
8469,14372,2024-12-30 16:57:33,On Time
8470,11679,2023-06-14 15:36:19,Delayed
8471,5501,2024-12-14 05:44:50,On Time
8472,9555,2024-06-14 11:06:36,On Time
8473,5050,2023-10-24 03:44:04,Delayed
8474,14162,2024-06-07 12:39:04,On Time
8475,5988,2023-07-08 04:56:17,On Time
8476,11772,2024-05-07 03:20:12,Delayed
8477,6116,2023-06-18 21:04:04,On Time
8478,8933,2024-10-09 18:21:43,Early
8479,14672,2024-02-11 13:36:53,On Time
8480,9435,2024-03-09 14:01:23,On Time
8481,8568,2024-06-14 18:21:02,On Time
8482,6659,2024-05-07 13:32:09,On Time
8483,12945,2024-07-09 23:18:47,Early
8484,10801,2023-05-08 07:40:02,On Time
8485,9377,2024-01-23 10:46:43,On Time
8486,13018,2024-10-22 20:08:40,On Time
8487,7816,2024-09-21 21:56:04,Delayed
8488,5971,2023-10-31 21:34:45,On Time
8489,12821,2024-07-17 01:54:35,On Time
8490,10513,2024-09-24 05:03:11,Delayed
8491,5208,2024-10-29 10:09:14,On Time
8492,5260,2024-03-14 11:54:09,Early
8493,10026,2023-08-15 08:43:04,Delayed
8494,9359,2024-05-28 23:02:14,On Time
8495,13975,2023-11-01 23:54:32,Delayed
8496,5505,2023-05-19 08:55:48,Delayed
8497,14766,2024-06-16 14:29:30,Delayed
8498,6760,2023-09-03 05:13:14,On Time
8499,12515,2023-10-27 11:14:16,Delayed
8500,12761,2023-02-09 04:09:46,On Time
8501,8795,2024-11-23 03:20:04,On Time
8502,8591,2024-03-11 23:22:40,Delayed
8503,11971,2024-10-29 06:37:50,Delayed
8504,14594,2023-01-06 02:48:57,On Time
8505,13981,2023-06-01 18:47:37,On Time
8506,11286,2024-10-15 09:33:46,Delayed
8507,8330,2024-08-04 09:46:15,Early
8508,9013,2024-08-15 22:11:30,On Time
8509,7093,2023-03-31 06:51:59,On Time
8510,7968,2023-07-09 22:04:28,Delayed
8511,14262,2024-02-21 00:35:03,On Time
8512,6676,2023-07-23 19:41:24,On Time
8513,9397,2023-02-22 17:22:57,On Time
8514,5288,2024-08-31 08:57:12,On Time
8515,5786,2024-10-11 11:42:59,On Time
8516,7317,2023-01-08 09:13:49,Delayed
8517,7839,2023-07-26 06:11:18,On Time
8518,12230,2023-01-14 06:24:11,On Time
8519,13138,2023-09-28 01:57:43,On Time
8520,13119,2023-08-01 08:14:30,On Time
8521,6266,2023-12-08 10:22:34,On Time
8522,7984,2023-12-22 02:47:10,On Time
8523,10902,2024-09-13 21:31:09,Delayed
8524,12932,2024-11-14 13:44:27,Delayed
8525,13144,2024-01-13 14:09:42,On Time
8526,13031,2023-05-25 07:26:11,On Time
8527,13263,2024-01-29 13:31:05,On Time
8528,5612,2024-02-28 03:57:36,On Time
8529,12229,2024-08-22 04:53:24,On Time
8530,8524,2024-10-15 00:01:43,Delayed
8531,10513,2024-10-19 12:38:01,On Time
8532,8703,2023-11-19 09:14:45,Early
8533,10425,2023-06-15 15:18:12,On Time
8534,13383,2023-09-10 06:28:49,Delayed
8535,14940,2023-04-19 00:19:05,On Time
8536,6629,2023-09-23 11:26:51,On Time
8537,12908,2023-09-27 07:04:41,Delayed
8538,8373,2023-07-16 22:45:47,Delayed
8539,13209,2024-06-01 18:27:14,On Time
8540,14790,2023-11-04 14:55:08,Delayed
8541,14259,2024-07-12 16:07:11,On Time
8542,8140,2023-10-18 18:39:42,On Time
8543,7260,2023-06-19 14:10:09,On Time
8544,7251,2023-01-11 09:53:38,Delayed
8545,11122,2023-12-17 18:57:55,On Time
8546,13182,2023-11-02 07:27:45,Delayed
8547,5284,2024-01-23 19:45:01,On Time
8548,10726,2024-03-23 23:52:19,On Time
8549,12919,2024-06-24 12:49:55,On Time
8550,10238,2024-02-24 05:14:22,On Time
8551,13795,2024-09-19 17:17:41,On Time
8552,14556,2024-10-23 01:25:47,On Time
8553,9076,2023-05-03 19:17:56,On Time
8554,11163,2024-03-09 04:39:50,Delayed
8555,12637,2024-05-03 19:30:50,On Time
8556,10738,2024-09-15 04:47:18,On Time
8557,13993,2023-05-10 14:50:10,Delayed
8558,13952,2023-08-10 03:52:08,On Time
8559,13003,2024-05-21 00:35:50,On Time
8560,12073,2024-09-06 00:01:58,On Time
8561,6494,2024-03-02 16:38:55,On Time
8562,14007,2023-10-28 03:58:57,On Time
8563,5373,2023-04-08 03:39:26,On Time
8564,10588,2024-09-30 04:28:27,On Time
8565,12072,2024-01-14 11:50:07,On Time
8566,7892,2023-06-24 04:00:57,On Time
8567,11587,2024-11-20 05:47:59,On Time
8568,12624,2024-04-20 20:37:35,On Time
8569,8320,2024-09-08 14:29:06,On Time
8570,8968,2023-05-05 02:24:02,On Time
8571,5823,2023-01-23 04:30:19,Delayed
8572,5222,2023-03-20 11:22:04,Delayed
8573,11881,2023-06-17 04:29:07,Delayed
8574,14580,2023-11-14 09:20:35,On Time
8575,8889,2024-05-15 07:32:48,On Time
8576,10301,2024-07-16 03:24:05,On Time
8577,8271,2024-08-05 11:20:39,On Time
8578,9694,2023-06-02 03:03:19,On Time
8579,12567,2023-06-17 05:21:50,On Time
8580,8994,2023-03-06 03:05:59,Early
8581,7599,2023-01-07 12:36:04,Early
8582,6667,2024-07-11 02:53:51,On Time
8583,9758,2023-04-16 06:56:57,On Time
8584,6555,2024-02-07 11:58:45,On Time
8585,11116,2023-06-19 11:59:32,Delayed
8586,10438,2023-04-18 04:00:19,On Time
8587,11242,2023-05-31 18:59:23,On Time
8588,14273,2023-02-11 02:00:51,On Time
8589,5088,2024-10-05 12:38:43,On Time
8590,12116,2024-12-10 09:48:51,On Time
8591,7704,2024-09-25 17:24:45,On Time
8592,7419,2024-01-11 14:52:14,Early
8593,9148,2023-10-03 13:34:13,Delayed
8594,6748,2024-02-03 09:22:22,On Time
8595,13233,2024-03-02 09:45:09,On Time
8596,5039,2025-01-07 06:23:23,On Time
8597,12044,2023-05-24 21:12:42,Delayed
8598,7152,2023-05-19 07:15:25,On Time
8599,8938,2023-02-08 22:42:18,On Time
8600,11887,2023-06-05 10:57:03,On Time
8601,5209,2023-02-08 04:51:20,On Time
8602,5600,2024-09-03 02:25:27,On Time
8603,13797,2024-06-20 18:12:25,On Time
