quality_id,vendor_id,quality_score,inspection_date
7049,1445,96.81,2023-06-15 07:25:48
7050,1088,65.43,2023-02-07 01:32:59
7051,1271,81.02,2023-02-28 08:18:10
7052,1029,82.82,2023-11-27 13:54:55
7053,1231,99.48,2023-03-28 21:57:55
7054,1155,89.05,2024-11-25 23:38:28
7055,1276,69.36,2023-07-23 20:47:12
7056,1420,84.16,2024-11-23 03:12:09
7057,1014,70.31,2023-02-16 05:05:16
7058,1037,90.05,2024-08-03 09:41:15
7059,1497,77.54,2024-04-16 09:42:46
7060,1484,87.8,2024-01-01 09:47:09
7061,1357,95.86,2023-09-05 18:54:47
7062,1216,92.31,2023-10-24 11:19:24
7063,1049,92.49,2024-04-01 10:02:03
7064,1235,74.68,2024-04-20 04:50:30
7065,1420,85.39,2023-01-23 21:48:52
7066,1442,71.48,2024-07-05 10:25:52
7067,1250,72.62,2024-07-16 19:48:45
7068,1477,89.42,2024-10-03 02:13:28
7069,1015,79.04,2023-08-04 05:23:45
7070,1423,95.65,2023-04-12 23:44:47
7071,1005,81.81,2024-01-11 22:35:05
7072,1494,67.38,2023-02-27 15:38:35
7073,1097,79.31,2023-01-12 22:31:44
7074,1231,69.62,2024-01-01 21:37:37
7075,1493,99.31,2024-11-08 20:23:31
7076,1301,65.82,2024-11-15 03:09:01
7077,1385,84.38,2024-05-05 04:24:33
7078,1303,77.57,2024-06-27 07:09:35
7079,1290,85.94,2024-05-27 03:00:21
7080,1488,83.6,2023-02-06 11:04:40
7081,1136,96.67,2023-11-14 06:15:51
7082,1472,71.29,2023-06-17 12:43:57
7083,1238,69.13,2023-07-13 14:55:08
7084,1054,95.03,2024-01-27 13:51:06
7085,1087,97.15,2023-11-19 00:48:39
7086,1228,77.25,2024-11-04 10:13:44
7087,1060,97.99,2024-12-21 04:12:13
7088,1461,76.83,2023-11-08 05:55:35
7089,1293,85.16,2024-12-28 04:03:45
7090,1430,88.0,2023-07-10 18:53:10
7091,1274,99.29,2024-06-08 13:55:30
7092,1010,70.88,2023-11-23 19:17:20
7093,1251,75.17,2023-03-20 19:13:18
7094,1068,83.84,2023-08-18 02:31:21
7095,1199,72.41,2023-07-14 21:13:12
7096,1484,85.01,2023-04-08 14:13:11
7097,1086,91.85,2023-07-17 06:33:17
7098,1363,95.33,2023-02-08 17:47:41
7099,1491,76.6,2024-11-11 14:56:53
7100,1332,70.95,2023-02-03 06:15:43
7101,1408,88.66,2023-11-15 11:17:15
7102,1303,88.69,2023-11-03 22:04:17
7103,1037,80.11,2024-09-25 12:54:02
7104,1200,85.48,2024-01-03 17:56:16
7105,1468,92.55,2023-02-11 07:14:01
7106,1043,90.3,2023-11-21 02:57:25
7107,1210,88.22,2023-02-10 22:05:40
7108,1281,87.83,2024-04-07 00:25:37
7109,1242,89.99,2023-05-26 16:45:36
7110,1343,85.96,2023-10-01 06:41:16
7111,1486,67.91,2024-09-12 23:34:58
7112,1146,85.11,2023-10-03 08:38:44
7113,1435,95.69,2024-08-20 17:02:32
7114,1252,66.3,2024-08-06 11:55:51
7115,1302,78.77,2023-03-07 10:27:40
7116,1203,78.56,2024-01-14 18:37:33
7117,1443,73.76,2024-11-24 10:47:36
7118,1167,84.82,2024-01-19 07:56:36
7119,1334,70.89,2024-04-15 23:42:59
7120,1368,96.61,2023-11-11 19:53:38
7121,1254,70.37,2024-06-18 05:43:14
7122,1342,98.29,2023-04-18 01:20:42
7123,1237,65.4,2023-06-03 03:26:59
7124,1422,81.83,2024-05-22 22:10:34
7125,1183,66.25,2023-11-23 21:20:36
7126,1335,95.26,2023-07-11 19:45:49
7127,1261,92.56,2023-03-31 05:24:09
7128,1113,72.76,2023-09-20 19:15:41
7129,1389,69.76,2024-04-01 14:55:10
7130,1377,72.31,2024-05-08 20:54:39
7131,1178,67.7,2024-06-24 14:53:15
7132,1298,73.17,2024-09-28 00:54:14
7133,1403,67.35,2024-01-08 21:53:15
7134,1162,94.41,2024-03-31 00:14:16
7135,1309,94.43,2023-05-08 15:11:23
7136,1464,83.94,2023-06-08 07:30:02
7137,1021,96.74,2023-09-17 03:40:43
7138,1301,77.08,2023-08-06 08:08:19
7139,1480,71.17,2024-10-27 17:55:00
7140,1060,75.5,2023-09-28 04:49:56
7141,1437,69.27,2023-12-04 08:02:11
7142,1019,93.37,2024-04-10 10:18:10
7143,1472,91.23,2023-04-06 15:52:06
7144,1291,71.55,2024-02-29 21:29:40
7145,1338,83.82,2024-11-24 15:44:49
7146,1249,74.68,2023-05-27 04:20:44
7147,1014,69.52,2024-12-19 15:30:00
7148,1086,73.46,2024-06-03 11:37:52
7149,1103,85.69,2023-09-21 11:40:14
7150,1222,87.45,2023-02-05 18:40:11
7151,1268,71.45,2023-07-21 22:57:39
7152,1177,91.7,2024-01-16 22:17:02
7153,1204,84.83,2024-08-20 02:52:58
7154,1478,79.81,2023-09-16 19:23:25
7155,1003,87.3,2024-10-11 06:50:14
7156,1119,76.5,2023-05-20 18:04:13
7157,1104,74.1,2024-11-14 07:37:03
7158,1352,96.96,2023-09-11 13:06:15
7159,1155,96.02,2024-03-04 10:30:33
7160,1220,81.4,2024-01-12 13:09:30
7161,1466,85.83,2023-01-16 19:33:46
7162,1373,87.66,2024-04-19 16:47:01
7163,1153,87.62,2024-07-05 22:03:34
7164,1399,83.22,2023-04-21 01:56:56
7165,1371,75.79,2023-02-12 16:59:49
7166,1493,95.69,2023-02-16 02:05:26
7167,1240,84.39,2023-11-22 05:16:13
7168,1027,96.3,2024-06-04 10:48:49
7169,1271,93.58,2024-03-14 18:22:30
7170,1158,87.41,2024-05-13 08:41:10
7171,1203,89.51,2023-06-16 22:12:29
7172,1187,96.44,2024-02-18 02:46:38
7173,1429,86.78,2023-02-19 20:10:25
7174,1181,81.16,2024-12-26 23:24:36
7175,1078,80.26,2023-10-23 17:48:19
7176,1301,98.81,2023-02-16 02:22:14
7177,1348,90.93,2023-08-11 00:56:03
7178,1200,88.16,2024-01-07 08:42:00
7179,1445,68.31,2024-07-07 05:18:00
7180,1267,85.29,2023-11-15 04:25:32
7181,1078,71.52,2023-09-11 10:18:12
7182,1179,78.45,2023-06-01 22:28:39
7183,1111,84.23,2023-06-16 02:11:30
7184,1214,65.28,2024-10-11 11:13:39
7185,1473,94.75,2024-10-03 11:45:00
7186,1202,80.13,2024-08-19 23:25:21
7187,1228,86.48,2024-02-12 08:24:42
7188,1423,71.97,2023-12-05 12:45:51
7189,1024,89.19,2023-04-25 12:42:23
7190,1134,75.7,2023-10-25 15:11:30
7191,1033,82.81,2024-07-03 01:31:39
7192,1406,76.15,2024-03-09 03:58:19
7193,1316,87.24,2024-01-02 14:49:23
7194,1404,94.34,2023-09-20 13:45:12
7195,1011,87.12,2024-06-11 23:51:58
7196,1115,71.15,2023-01-03 12:28:19
7197,1291,73.61,2023-03-18 18:41:36
7198,1419,83.03,2024-03-29 11:22:36
7199,1065,74.36,2023-09-05 17:46:54
7200,1362,71.74,2024-08-06 03:17:21
7201,1346,66.61,2023-03-28 07:30:06
7202,1206,68.59,2023-07-01 09:14:14
7203,1433,84.49,2023-08-11 17:55:10
7204,1066,71.71,2023-10-14 18:41:53
7205,1430,82.2,2023-06-30 07:07:06
7206,1133,87.14,2024-01-08 07:46:54
7207,1167,73.63,2024-05-20 21:50:07
7208,1079,97.76,2023-01-24 18:11:14
7209,1469,73.86,2023-08-05 18:02:38
7210,1221,70.59,2024-05-25 14:18:02
7211,1435,80.76,2023-10-17 22:16:25
7212,1405,80.25,2024-09-24 12:03:46
7213,1166,94.61,2024-09-19 15:29:10
7214,1500,66.63,2023-04-06 23:06:24
7215,1420,74.4,2023-12-08 17:22:47
7216,1270,95.33,2023-12-09 16:26:58
7217,1417,91.18,2023-11-24 16:12:52
7218,1023,65.13,2024-08-15 01:11:02
7219,1072,83.21,2024-05-04 13:12:18
7220,1212,73.44,2024-02-15 22:27:10
7221,1166,99.1,2024-04-22 19:35:19
7222,1303,98.93,2024-03-19 02:22:55
7223,1064,96.99,2023-05-21 18:12:23
7224,1230,65.34,2023-04-16 14:16:56
7225,1431,96.22,2024-07-08 09:57:41
7226,1257,76.27,2024-02-26 19:06:41
7227,1298,87.15,2024-07-22 01:11:03
7228,1324,80.5,2023-01-28 14:37:33
7229,1462,77.23,2024-10-30 21:28:30
7230,1214,74.9,2023-05-13 14:47:37
7231,1204,79.76,2023-09-29 21:06:25
7232,1025,75.25,2023-12-19 14:06:41
7233,1116,96.95,2023-03-13 19:51:43
7234,1368,80.08,2023-12-05 11:08:54
7235,1185,97.59,2023-12-13 23:01:31
7236,1180,77.82,2024-05-02 02:28:47
7237,1391,73.97,2024-01-20 06:44:18
7238,1391,92.92,2024-03-01 06:06:56
7239,1440,82.96,2023-12-16 21:52:55
7240,1423,70.62,2024-02-13 03:04:10
7241,1454,97.02,2024-11-25 07:49:16
7242,1083,98.19,2023-03-22 01:33:10
7243,1239,88.74,2024-09-15 14:56:34
7244,1442,98.53,2024-11-15 07:54:40
7245,1151,88.26,2024-03-14 08:40:11
7246,1252,86.5,2024-08-02 23:15:55
7247,1118,93.49,2023-12-01 18:59:05
7248,1138,67.34,2024-04-08 19:11:15
7249,1364,80.28,2023-12-19 01:11:43
7250,1456,79.85,2024-02-24 16:35:48
7251,1164,86.42,2023-04-23 01:55:56
7252,1455,76.98,2023-01-25 14:39:30
7253,1375,80.65,2023-07-01 16:07:00
7254,1131,94.31,2023-09-09 20:19:12
7255,1072,97.7,2024-08-05 10:25:50
7256,1333,81.7,2023-01-16 02:28:06
7257,1479,89.33,2024-09-08 19:31:45
7258,1397,83.88,2024-05-14 23:00:36
7259,1474,94.93,2024-11-26 01:27:53
7260,1176,74.03,2023-12-22 20:43:57
7261,1112,94.79,2023-10-06 16:28:01
7262,1066,82.77,2023-12-16 22:10:31
7263,1131,80.74,2024-02-19 15:26:26
7264,1063,97.84,2023-12-14 18:00:32
7265,1015,75.53,2023-07-04 00:21:09
7266,1497,67.84,2024-06-08 07:19:10
7267,1130,88.18,2023-01-09 16:29:30
7268,1445,74.07,2023-12-19 07:15:27
7269,1443,87.14,2024-12-02 01:37:00
7270,1145,66.93,2024-07-31 02:16:13
7271,1486,84.4,2024-05-12 14:49:27
7272,1267,73.18,2023-02-27 21:56:36
7273,1261,67.6,2023-05-07 16:24:55
7274,1326,66.92,2023-12-17 11:52:57
7275,1323,98.04,2024-05-23 10:25:50
7276,1279,74.16,2024-01-23 10:25:49
7277,1096,85.07,2023-01-08 11:03:15
7278,1063,81.72,2023-05-19 22:21:26
7279,1388,77.52,2023-07-01 12:23:04
7280,1239,83.72,2023-03-16 06:40:23
7281,1029,84.31,2024-01-10 19:20:11
7282,1145,93.89,2023-11-20 13:34:19
7283,1479,78.33,2024-12-17 10:44:35
7284,1163,77.17,2023-05-07 04:09:32
7285,1176,88.43,2024-03-20 21:04:38
7286,1341,77.83,2024-05-06 03:13:20
7287,1087,82.63,2023-08-08 03:30:28
7288,1304,70.97,2023-04-11 03:54:25
7289,1479,74.79,2023-09-17 07:21:33
7290,1309,71.94,2023-05-02 13:13:53
7291,1449,94.0,2024-03-18 20:52:01
7292,1117,92.53,2024-10-26 10:15:29
7293,1203,78.53,2024-03-06 10:48:04
7294,1257,80.19,2023-12-29 12:12:19
7295,1135,79.17,2024-07-09 21:50:08
7296,1233,71.65,2024-11-06 17:23:54
7297,1077,92.03,2023-02-21 15:12:05
7298,1374,93.6,2024-11-30 17:25:54
7299,1084,86.04,2023-02-05 03:26:31
7300,1198,90.6,2023-12-27 17:12:01
7301,1286,87.52,2024-07-25 18:26:29
7302,1369,68.54,2023-02-17 23:01:56
7303,1372,84.01,2024-10-03 16:46:23
7304,1070,76.97,2024-02-03 19:03:37
7305,1098,72.6,2024-12-24 05:44:37
7306,1099,87.94,2024-02-20 13:19:08
7307,1084,95.66,2023-11-29 22:42:13
7308,1166,99.49,2024-12-16 08:12:19
7309,1158,84.92,2024-12-03 05:46:08
7310,1499,88.2,2024-02-23 10:16:33
7311,1097,87.47,2023-11-25 15:18:39
7312,1310,88.98,2024-01-14 00:34:47
7313,1344,73.5,2023-12-27 06:09:28
7314,1479,70.5,2024-10-14 02:39:15
7315,1400,79.06,2024-06-22 06:31:54
7316,1104,81.07,2024-05-07 17:43:09
7317,1272,91.33,2023-06-04 17:57:34
7318,1283,86.48,2023-10-22 20:07:03
7319,1100,84.05,2023-01-01 10:45:29
7320,1278,82.2,2023-04-27 13:38:45
7321,1399,72.7,2023-02-28 02:46:22
7322,1046,77.86,2023-09-02 13:34:18
7323,1385,68.77,2024-05-03 21:56:32
7324,1412,67.27,2023-12-13 22:08:21
7325,1161,65.46,2024-02-11 07:19:02
7326,1100,68.02,2023-01-20 19:45:52
7327,1399,85.52,2023-10-20 20:49:46
7328,1479,98.52,2023-01-28 08:36:43
7329,1313,65.99,2023-07-14 05:58:16
7330,1326,92.02,2023-10-13 13:07:01
7331,1196,87.95,2024-06-18 22:08:07
7332,1442,94.63,2024-09-24 04:13:59
7333,1276,97.61,2024-03-19 23:47:40
7334,1004,93.05,2023-05-22 15:28:40
7335,1010,92.52,2024-06-29 15:35:28
7336,1263,67.98,2023-02-20 21:55:56
7337,1475,77.38,2023-09-10 06:59:01
7338,1313,86.27,2023-04-17 06:40:08
7339,1390,65.59,2023-12-03 07:53:43
7340,1311,81.37,2024-01-12 16:53:23
7341,1159,65.29,2023-01-28 15:34:16
7342,1320,90.59,2023-05-05 07:03:32
7343,1420,74.17,2023-05-28 12:43:20
7344,1091,91.05,2024-01-22 23:18:23
7345,1013,81.56,2024-08-08 03:39:28
7346,1075,68.73,2024-02-24 23:26:49
7347,1373,96.72,2023-07-02 06:11:52
7348,1329,89.08,2024-03-26 05:36:57
7349,1456,89.99,2023-01-29 23:03:04
7350,1189,72.96,2023-07-17 22:04:21
7351,1010,69.33,2024-03-30 14:12:38
7352,1450,97.93,2024-02-23 13:39:01
7353,1152,76.95,2023-02-26 11:59:54
7354,1355,73.09,2024-08-08 01:25:21
7355,1418,95.31,2023-05-22 15:44:02
7356,1434,80.99,2023-11-04 08:08:42
7357,1331,87.57,2023-01-18 19:14:35
7358,1116,74.19,2024-10-20 15:30:03
7359,1129,98.43,2023-07-28 12:49:55
7360,1005,81.35,2023-01-11 06:51:46
7361,1411,79.64,2024-12-20 09:50:00
7362,1007,67.23,2024-01-12 13:08:47
7363,1242,89.43,2024-07-27 01:22:52
7364,1101,83.67,2024-12-04 21:12:19
7365,1500,98.33,2024-03-07 22:42:53
7366,1230,69.4,2023-05-16 11:30:17
7367,1257,78.49,2024-06-05 02:18:24
7368,1288,73.76,2024-11-05 20:09:47
7369,1145,88.03,2024-02-01 22:36:45
7370,1274,67.47,2023-12-23 00:11:23
7371,1068,99.25,2023-05-30 06:34:37
7372,1049,89.64,2024-11-09 04:36:07
7373,1269,78.15,2023-10-22 17:54:04
7374,1069,77.71,2023-12-02 03:12:40
7375,1406,81.58,2024-03-05 20:07:39
7376,1410,89.08,2023-06-15 08:42:48
7377,1324,85.41,2024-01-01 12:03:36
7378,1087,81.7,2024-06-13 19:13:14
7379,1133,71.74,2023-07-03 12:58:48
7380,1393,71.0,2023-10-10 08:40:12
7381,1077,96.59,2024-06-15 00:29:32
7382,1062,84.03,2023-11-21 13:03:08
7383,1073,85.01,2024-05-06 13:22:20
7384,1068,79.93,2024-05-25 22:51:50
7385,1218,89.43,2023-08-16 22:54:03
7386,1078,92.65,2024-06-25 22:11:52
7387,1246,79.19,2023-01-19 03:32:38
7388,1258,66.82,2024-07-13 08:08:58
7389,1095,73.71,2024-10-22 23:06:03
7390,1178,93.35,2023-10-13 01:17:18
7391,1307,84.33,2023-03-20 21:16:47
7392,1474,95.4,2024-06-28 20:33:59
7393,1002,78.17,2023-04-26 04:27:13
7394,1425,75.87,2023-06-03 20:01:15
7395,1494,65.05,2023-05-06 14:25:07
7396,1320,71.22,2023-03-03 18:36:03
7397,1172,76.56,2024-12-12 14:35:15
7398,1052,67.74,2024-01-05 10:24:02
7399,1037,85.86,2024-04-14 20:15:24
7400,1066,99.15,2023-02-01 23:27:44
7401,1488,67.01,2024-10-21 21:38:13
7402,1092,78.52,2023-03-06 00:35:16
7403,1184,78.8,2024-03-26 16:43:42
7404,1279,67.41,2024-12-25 08:34:50
7405,1199,71.4,2024-06-22 16:05:54
7406,1167,80.62,2023-05-28 01:59:39
7407,1232,97.97,2024-01-12 06:29:10
7408,1372,84.67,2023-04-11 20:51:49
7409,1086,68.44,2024-06-02 01:47:26
7410,1316,90.6,2024-09-12 03:58:11
7411,1312,94.58,2024-06-02 12:21:44
7412,1376,92.88,2023-04-01 13:53:55
7413,1420,93.23,2024-07-18 07:59:52
7414,1385,93.01,2023-03-28 11:30:10
7415,1354,72.69,2023-11-26 00:50:53
7416,1260,85.5,2023-06-25 03:21:33
7417,1041,70.61,2023-01-28 23:23:34
7418,1099,76.33,2024-03-05 22:51:34
7419,1437,79.4,2024-07-23 11:41:52
7420,1159,79.9,2024-08-30 12:18:08
7421,1417,80.11,2023-09-05 13:04:01
7422,1389,92.03,2024-01-05 16:10:27
7423,1427,86.4,2024-03-12 17:10:36
7424,1235,87.14,2024-10-26 06:33:53
7425,1395,91.52,2024-04-08 02:58:49
7426,1032,72.14,2023-02-14 16:40:09
7427,1367,81.02,2024-07-04 04:37:00
7428,1385,94.5,2024-06-26 21:25:40
7429,1043,89.35,2024-07-07 11:15:13
7430,1262,95.36,2023-09-29 03:47:35
7431,1092,80.64,2023-02-01 14:25:09
7432,1209,91.42,2024-03-02 05:46:39
7433,1370,74.18,2023-04-21 20:53:22
7434,1267,94.94,2023-07-23 05:52:49
7435,1169,75.24,2024-04-23 11:45:17
7436,1283,76.75,2023-08-03 08:28:14
7437,1189,89.76,2024-03-15 18:09:33
7438,1076,90.8,2023-06-27 01:12:40
7439,1013,66.81,2024-03-27 04:57:36
7440,1351,70.18,2023-01-04 04:32:37
7441,1035,73.62,2023-05-21 15:58:46
7442,1025,99.5,2024-03-29 05:09:02
7443,1478,93.37,2024-07-01 06:52:12
7444,1292,89.67,2023-08-30 21:34:16
7445,1149,98.24,2024-01-18 07:20:06
7446,1112,88.71,2024-06-11 12:19:31
7447,1311,88.86,2024-10-19 20:37:31
7448,1036,95.99,2023-12-27 03:59:29
7449,1412,75.42,2023-04-08 16:01:47
7450,1155,65.06,2023-10-05 16:13:47
7451,1396,89.67,2024-12-22 21:59:41
7452,1202,70.39,2023-02-10 20:12:41
7453,1026,74.91,2024-04-23 15:16:43
7454,1477,93.38,2024-01-14 02:04:46
7455,1173,91.84,2023-09-19 19:42:50
7456,1390,81.38,2024-03-21 09:26:30
7457,1473,68.6,2024-06-03 09:12:37
7458,1008,75.29,2024-09-17 14:50:11
7459,1331,81.41,2024-04-18 12:20:47
7460,1125,91.5,2024-09-23 05:34:36
7461,1401,98.97,2023-08-01 14:52:42
7462,1422,86.58,2024-10-22 03:58:46
7463,1239,66.84,2023-01-19 10:30:49
7464,1205,72.63,2023-05-24 18:08:53
7465,1169,73.95,2024-06-19 09:30:45
7466,1399,86.89,2023-06-03 09:51:29
7467,1083,65.64,2024-05-21 22:09:46
7468,1083,82.48,2024-10-02 01:23:59
7469,1074,99.35,2024-02-16 06:56:49
7470,1284,91.52,2024-04-05 11:33:48
7471,1485,91.54,2024-06-03 04:26:45
7472,1153,90.72,2024-04-02 11:17:20
7473,1335,88.58,2023-02-25 17:16:55
7474,1163,75.29,2024-12-22 21:45:28
7475,1336,92.01,2024-05-08 06:57:11
7476,1037,87.28,2024-02-01 11:08:09
7477,1155,72.9,2023-01-12 01:08:37
7478,1261,98.78,2023-08-28 17:12:12
7479,1443,98.97,2024-07-24 14:09:19
7480,1088,77.9,2024-09-14 09:35:05
7481,1194,90.98,2024-01-06 08:30:08
7482,1360,88.51,2024-02-27 14:51:24
7483,1369,85.14,2024-03-05 12:38:31
7484,1245,71.24,2023-12-17 02:31:13
7485,1483,81.14,2024-03-13 16:12:03
7486,1057,90.18,2023-07-04 11:30:56
7487,1189,99.1,2023-07-17 00:01:04
7488,1127,86.17,2023-08-09 12:38:12
7489,1481,90.95,2023-09-13 12:39:07
7490,1374,96.53,2024-02-02 07:47:42
7491,1490,86.18,2024-08-07 13:11:25
7492,1480,91.38,2024-11-14 06:45:41
7493,1316,80.8,2023-06-09 05:17:38
7494,1448,75.07,2023-01-24 21:53:15
7495,1032,82.01,2024-03-12 00:19:40
7496,1400,68.07,2023-11-22 15:12:01
7497,1365,97.08,2023-10-15 15:02:37
7498,1486,75.71,2023-11-05 18:42:57
7499,1365,80.91,2024-10-29 20:11:03
7500,1300,87.54,2023-12-24 10:16:56
7501,1215,82.41,2023-06-17 20:02:54
7502,1346,74.76,2024-07-04 19:59:19
7503,1122,98.96,2023-02-02 23:34:35
7504,1325,94.27,2023-03-05 19:22:42
7505,1189,68.55,2023-11-05 23:37:50
7506,1327,77.67,2023-10-06 14:05:32
7507,1162,71.7,2024-05-12 11:13:13
7508,1242,81.51,2024-10-06 17:10:33
7509,1458,72.2,2024-02-22 05:56:55
7510,1120,75.77,2024-05-05 20:25:13
7511,1086,82.97,2024-03-31 01:18:53
7512,1277,69.97,2023-11-20 01:02:18
7513,1403,94.7,2023-02-25 12:10:37
7514,1052,77.51,2023-09-16 06:28:21
7515,1120,96.54,2024-11-20 01:38:45
7516,1426,66.04,2023-09-30 07:30:37
7517,1039,91.62,2024-10-04 06:43:20
7518,1301,94.84,2023-12-21 19:11:35
7519,1345,98.97,2023-10-12 08:11:12
7520,1397,69.55,2023-08-24 13:01:10
7521,1171,79.96,2023-08-21 14:34:29
7522,1339,91.23,2024-11-23 12:35:32
7523,1374,82.72,2023-09-23 12:34:58
7524,1199,93.32,2023-07-03 12:12:48
7525,1479,98.94,2024-01-18 20:19:51
7526,1194,91.1,2024-10-23 00:42:22
7527,1108,90.61,2024-08-24 11:43:07
7528,1429,84.59,2023-04-06 09:32:18
7529,1132,80.98,2024-04-02 20:21:01
7530,1385,93.81,2024-10-28 16:45:10
7531,1244,73.03,2024-09-27 01:55:01
7532,1111,94.72,2024-11-26 15:55:13
7533,1384,93.89,2023-07-15 00:50:41
7534,1060,90.43,2024-04-30 10:32:58
7535,1306,89.01,2024-11-26 01:16:15
7536,1343,65.28,2023-05-08 08:20:02
7537,1303,99.17,2024-10-24 16:19:30
7538,1017,78.52,2023-09-13 03:00:33
7539,1342,78.1,2024-12-16 15:49:18
7540,1163,99.1,2023-05-18 07:30:04
7541,1008,73.35,2024-06-15 06:38:53
7542,1056,97.88,2024-01-17 12:27:51
7543,1188,78.29,2023-01-31 00:40:16
7544,1183,68.39,2024-11-07 15:50:58
7545,1263,83.05,2023-11-14 13:31:27
7546,1065,89.36,2024-02-18 22:10:56
7547,1281,86.01,2023-02-15 02:16:03
7548,1499,97.85,2024-10-30 21:13:20
7549,1024,78.24,2023-07-21 17:43:12
7550,1114,80.25,2024-11-02 17:59:55
7551,1097,73.48,2023-01-27 04:32:35
7552,1459,84.94,2024-07-15 21:28:05
7553,1096,97.42,2023-02-20 04:54:18
7554,1349,76.92,2024-01-09 15:58:45
7555,1065,68.97,2023-12-14 15:48:59
7556,1303,77.63,2023-05-23 18:07:47
7557,1136,95.47,2024-08-20 05:18:31
7558,1173,96.06,2024-03-12 07:09:37
7559,1413,69.21,2023-06-20 04:58:32
7560,1031,91.38,2023-05-24 00:19:16
7561,1313,69.89,2024-07-01 14:28:53
7562,1483,95.51,2023-11-13 11:25:36
7563,1135,81.39,2023-10-12 22:10:20
7564,1159,96.01,2024-08-08 16:13:55
7565,1109,67.57,2023-04-22 11:34:14
7566,1242,67.64,2024-12-09 06:44:53
7567,1188,97.27,2023-04-15 13:11:58
7568,1184,91.65,2024-08-26 04:25:01
7569,1160,70.02,2023-06-20 07:58:57
7570,1094,95.72,2023-05-19 23:37:28
7571,1317,94.46,2023-02-12 11:19:36
7572,1189,83.55,2024-01-25 12:03:40
7573,1076,70.69,2023-07-15 06:22:21
7574,1355,79.57,2023-12-02 17:13:54
7575,1448,83.98,2023-09-18 11:01:41
7576,1266,72.23,2023-03-08 18:49:07
7577,1410,94.62,2023-02-15 20:55:16
7578,1069,93.76,2024-10-14 20:27:36
7579,1087,65.8,2024-03-30 15:43:52
7580,1329,65.68,2024-05-04 09:25:49
7581,1097,80.07,2023-10-13 05:40:52
7582,1254,96.89,2023-07-17 06:17:51
7583,1293,91.5,2024-11-02 10:12:02
7584,1414,98.07,2024-06-02 17:58:25
7585,1353,74.8,2023-03-23 12:28:24
7586,1002,98.4,2024-09-22 16:07:38
7587,1298,83.34,2023-10-18 11:23:26
7588,1196,86.08,2023-12-18 21:40:43
7589,1474,72.9,2023-08-17 20:10:04
7590,1350,80.92,2024-03-07 23:36:58
7591,1419,91.09,2023-12-08 17:00:28
7592,1138,77.11,2023-01-21 13:31:49
7593,1031,67.4,2024-08-30 11:00:53
7594,1207,93.9,2023-08-27 10:21:50
7595,1469,66.15,2024-04-11 00:47:13
7596,1006,68.32,2023-07-12 00:51:51
7597,1065,86.98,2023-06-06 19:14:17
7598,1249,88.06,2024-06-07 10:13:41
7599,1202,83.97,2023-05-06 23:34:00
7600,1386,67.68,2023-09-18 16:25:59
7601,1393,91.8,2023-04-05 19:08:40
7602,1081,85.64,2023-10-15 20:01:10
7603,1336,88.13,2023-04-01 05:02:24
7604,1450,65.1,2023-03-01 06:15:39
7605,1336,68.03,2023-10-02 00:50:24
7606,1355,89.87,2023-04-10 21:49:23
